key,enabled,identity,password,username
user-account-anonymous-01,false,"UserIdentity{name: 'John', surname: 'Doe', email: 'john.doe@acme.com'}",HIDDEN-PASSWORD,anonymous
user-account-administrator-01,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator@acme.com'}",administrator,administrator
user-account-patron-01,true,"UserIdentity{name: 'Patron1', surname: 'Acme', email: 'patron1@acme.com'}",patron1,patron1
user-account-patron-02,true,"UserIdentity{name: 'Patron2', surname: 'Acme', email: 'patron2@acme.com'}",patron2,patron2
user-account-patron-03,true,"UserIdentity{name: 'Patron3', surname: 'Acme', email: 'patron3@acme.com'}",patron3,patron3
user-account-patron-04,true,"UserIdentity{name: 'Patron4', surname: 'Acme', email: 'patron4@acme.com'}",patron4,patron4
user-account-patron-05,true,"UserIdentity{name: 'Patron5', surname: 'Acme', email: 'patron5@acme.com'}",patron5,patron5
user-account-patron-06,true,"UserIdentity{name: 'Patron6', surname: 'Acme', email: 'patron6@acme.com'}",patron6,patron6
user-account-patron-07,true,"UserIdentity{name: 'Patron7', surname: 'Acme', email: 'patron7@acme.com'}",patron7,patron7
user-account-patron-08,true,"UserIdentity{name: 'Patron8', surname: 'Acme', email: 'patron8@acme.com'}",patron8,patron8
user-account-inventor-01,true,"UserIdentity{name: 'Inventor1', surname: 'Acme', email: 'inventor1@acme.com'}",inventor1,inventor1
user-account-inventor-02,true,"UserIdentity{name: 'Inventor2', surname: 'Acme', email: 'inventor2@acme.com'}",inventor2,inventor2
